institution,institution_type,vintage,vintage_approx,target_year,kind,indicator,value,low,high,unit,source_url,note
NESDC,official,2026-08-17,false,2026,forecast,gdp_growth,2.2,2.0,2.5,%,https://www.nesdc.go.th/wordpress/wp-content/uploads/2026/08/01-%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B8%87%E0%B8%B2%E0%B8%99-%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1-170869_11.39.pdf,NESDC press release 17 Aug 2026; GDP/CPI/deflator published as ranges
NESDC,official,2026-08-17,false,2026,forecast,private_consumption,2.6,,,%,https://www.nesdc.go.th/wordpress/wp-content/uploads/2026/08/01-%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B8%87%E0%B8%B2%E0%B8%99-%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1-170869_11.39.pdf,NESDC press release 17 Aug 2026; GDP/CPI/deflator published as ranges
NESDC,official,2026-08-17,false,2026,forecast,public_consumption,1.2,,,%,https://www.nesdc.go.th/wordpress/wp-content/uploads/2026/08/01-%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B8%87%E0%B8%B2%E0%B8%99-%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1-170869_11.39.pdf,NESDC press release 17 Aug 2026; GDP/CPI/deflator published as ranges
NESDC,official,2026-08-17,false,2026,forecast,gfcf,7.9,,,%,https://www.nesdc.go.th/wordpress/wp-content/uploads/2026/08/01-%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B8%87%E0%B8%B2%E0%B8%99-%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1-170869_11.39.pdf,NESDC press release 17 Aug 2026; GDP/CPI/deflator published as ranges
NESDC,official,2026-08-17,false,2026,forecast,private_investment,9.6,,,%,https://www.nesdc.go.th/wordpress/wp-content/uploads/2026/08/01-%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B8%87%E0%B8%B2%E0%B8%99-%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1-170869_11.39.pdf,NESDC press release 17 Aug 2026; GDP/CPI/deflator published as ranges
NESDC,official,2026-08-17,false,2026,forecast,public_investment,3.1,,,%,https://www.nesdc.go.th/wordpress/wp-content/uploads/2026/08/01-%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B8%87%E0%B8%B2%E0%B8%99-%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1-170869_11.39.pdf,NESDC press release 17 Aug 2026; GDP/CPI/deflator published as ranges
NESDC,official,2026-08-17,false,2026,forecast,exports_volume,10.6,,,%,https://www.nesdc.go.th/wordpress/wp-content/uploads/2026/08/01-%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B8%87%E0%B8%B2%E0%B8%99-%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1-170869_11.39.pdf,NESDC press release 17 Aug 2026; GDP/CPI/deflator published as ranges
NESDC,official,2026-08-17,false,2026,forecast,imports_volume,16.0,,,%,https://www.nesdc.go.th/wordpress/wp-content/uploads/2026/08/01-%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B8%87%E0%B8%B2%E0%B8%99-%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1-170869_11.39.pdf,NESDC press release 17 Aug 2026; GDP/CPI/deflator published as ranges
NESDC,official,2026-08-17,false,2026,forecast,exports_value,15.1,,,%,https://www.nesdc.go.th/wordpress/wp-content/uploads/2026/08/01-%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B8%87%E0%B8%B2%E0%B8%99-%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1-170869_11.39.pdf,NESDC press release 17 Aug 2026; GDP/CPI/deflator published as ranges
NESDC,official,2026-08-17,false,2026,forecast,imports_value,25.5,,,%,https://www.nesdc.go.th/wordpress/wp-content/uploads/2026/08/01-%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%A2%E0%B8%87%E0%B8%B2%E0%B8%99-%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B9%80%E0%B8%A5%E0%B9%88%E0%B8%A1-170869_11.39.pdf,NESDC press release 17 Aug 2026; GDP/CPI/deflator published as ranges
