period,value
1993-01-01,1067301.0
1993-04-01,1039924.0
1993-07-01,1086494.0
1993-10-01,1147308.0
1994-01-01,1179517.0
1994-04-01,1146232.0
1994-07-01,1135828.0
1994-10-01,1226603.0
1995-01-01,1265610.0
1995-04-01,1256367.0
1995-07-01,1231962.0
1995-10-01,1314936.0
1996-01-01,1313862.0
1996-04-01,1336374.0
1996-07-01,1323012.0
1996-10-01,1382117.0
1997-01-01,1318993.0
1997-04-01,1309139.0
1997-07-01,1282881.0
1997-10-01,1296888.0
1998-01-01,1244216.0
1998-04-01,1145060.0
1998-07-01,1155997.0
1998-10-01,1265055.0
1999-01-01,1259716.0
1999-04-01,1206997.0
1999-07-01,1246015.0
1999-10-01,1317543.0
2000-01-01,1346757.0
2000-04-01,1279194.0
2000-07-01,1276273.0
2000-10-01,1352158.0
2001-01-01,1378078.0
2001-04-01,1326723.0
2001-07-01,1322686.0
2001-10-01,1407869.0
2002-01-01,1441030.0
2002-04-01,1411214.0
2002-07-01,1414291.0
2002-10-01,1503042.0
2003-01-01,1550742.0
2003-04-01,1500109.0
2003-07-01,1511005.0
2003-10-01,1622511.0
2004-01-01,1651929.0
2004-04-01,1594896.0
2004-07-01,1596306.0
2004-10-01,1730192.0
2005-01-01,1715539.0
2005-04-01,1663994.0
2005-07-01,1672102.0
2005-10-01,1796955.0
2006-01-01,1810063.0
2006-04-01,1738304.0
2006-07-01,1746759.0
2006-10-01,1893689.0
2007-01-01,1928792.0
2007-04-01,1829463.0
2007-07-01,1842192.0
2007-10-01,1979091.0
2008-01-01,1992940.0
2008-04-01,1893939.0
2008-07-01,1883585.0
2008-10-01,1939874.0
2009-01-01,1907673.0
2009-04-01,1836030.0
2009-07-01,1874133.0
2009-10-01,2039253.0
2010-01-01,2139668.0
2010-04-01,2000920.0
2010-07-01,1982245.0
2010-10-01,2109563.0
2011-01-01,2209743.0
2011-04-01,2037494.0
2011-07-01,2029932.0
2011-10-01,2024390.0
2012-01-01,2272805.0
2012-04-01,2160308.0
2012-07-01,2132192.0
2012-10-01,2337519.0
2013-01-01,2395328.0
2013-04-01,2219187.0
2013-07-01,2185277.0
2013-10-01,2342295.0
2014-01-01,2386444.033978027
2014-04-01,2237767.9695609356
2014-07-01,2208911.9570584497
2014-10-01,2398964.039402588
2015-01-01,2459674.649948831
2015-04-01,2303095.3539398797
2015-07-01,2285060.319845132
2015-10-01,2473595.676266157
2016-01-01,2541549.0
2016-04-01,2390876.0
2016-07-01,2357971.0
2016-10-01,2558106.0
2017-01-01,2638918.0
2017-04-01,2494793.0
2017-07-01,2463648.0
2017-10-01,2662582.0
2018-01-01,2772274.0
2018-04-01,2610783.0
2018-07-01,2543414.0
2018-10-01,2766734.0
2019-01-01,2845657.0
2019-04-01,2668902.0
2019-07-01,2605929.0
2019-10-01,2798831.0
2020-01-01,2784621.0
2020-04-01,2343831.0
2020-07-01,2441011.0
2020-10-01,2684535.0
2021-01-01,2715101.0
2021-04-01,2523971.0
2021-07-01,2437726.0
2021-10-01,2737017.0
2022-01-01,2776424.0
2022-04-01,2585658.0
2022-07-01,2548887.0
2022-10-01,2777546.0
2023-01-01,2858110.0
2023-04-01,2641700.0
2023-07-01,2594600.0
2023-10-01,2834472.0
2024-01-01,2917809.0
2024-04-01,2712644.0
2024-07-01,2680692.0
2024-10-01,2939986.0
2025-01-01,3009428.0
2025-04-01,2789077.0
2025-07-01,2712849.0
2025-10-01,3014449.0
2026-01-01,3095049.0
2026-04-01,2842444.0
